epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,65.7315,1.07951,0.7717,0.91091,0.96125,0.87037,0.94131,0.51383,1.47627,0.88251,1.05636,0.0011882,0.0011882,0.0011882
43,67.364,1.08169,0.78487,0.88723,0.9785,0.84309,0.90758,0.45984,1.62124,0.96967,1.09371,0.0011684,0.0011684,0.0011684
44,68.9803,1.04789,0.75467,0.90805,0.95882,0.86252,0.92065,0.51143,1.54795,0.85942,1.06459,0.0011486,0.0011486,0.0011486
45,70.3997,1.06483,0.74581,0.92126,0.92042,0.85676,0.93761,0.53253,1.46778,0.8537,1.03656,0.0011288,0.0011288,0.0011288
46,71.8533,1.0857,0.7528,0.91408,0.93508,0.85185,0.92734,0.52723,1.49123,0.85067,1.05852,0.001109,0.001109,0.001109
47,73.2739,1.06318,0.76004,0.89711,0.88662,0.83333,0.91711,0.47399,1.57775,0.85575,1.08887,0.0010892,0.0010892,0.0010892
48,74.799,1.09827,0.76454,0.91488,0.9149,0.81481,0.93064,0.53093,1.48607,0.85417,1.03085,0.0010694,0.0010694,0.0010694
49,76.3007,1.04738,0.73919,0.90882,0.87188,0.88225,0.93499,0.55439,1.40912,0.83556,1.01486,0.0010496,0.0010496,0.0010496
50,77.9129,1.04754,0.72876,0.89473,0.94161,0.81481,0.92409,0.55781,1.42786,0.8103,1.03429,0.0010298,0.0010298,0.0010298
51,79.4198,1.08361,0.71425,0.91599,0.94505,0.83333,0.92403,0.54813,1.42159,0.8177,1.02193,0.00101,0.00101,0.00101
52,80.8775,1.1637,0.74077,0.93862,0.8897,0.83333,0.90771,0.51538,1.48463,0.8584,1.0389,0.0009902,0.0009902,0.0009902
53,82.3115,1.14001,0.76325,0.91235,0.89941,0.83333,0.90608,0.51316,1.50112,0.8563,1.03783,0.0009704,0.0009704,0.0009704
54,83.7726,1.01899,0.70011,0.90135,0.86995,0.86723,0.90955,0.52361,1.48152,0.78769,1.03743,0.0009506,0.0009506,0.0009506
55,85.216,0.95678,0.69096,0.89969,0.87061,0.92593,0.92087,0.52802,1.49827,0.78933,1.05258,0.0009308,0.0009308,0.0009308
56,86.686,1.09486,0.69879,0.90756,0.85791,0.89456,0.89182,0.5203,1.48506,0.8068,1.05756,0.000911,0.000911,0.000911
57,88.1288,1.0178,0.69744,0.89226,0.85695,0.88748,0.89292,0.49885,1.55205,0.79555,1.06798,0.0008912,0.0008912,0.0008912
58,89.5939,1.1185,0.71118,0.92758,0.82714,0.83333,0.86798,0.51129,1.50474,0.81813,1.0688,0.0008714,0.0008714,0.0008714
59,91.0173,0.99776,0.65951,0.89684,0.81176,0.83333,0.87644,0.49604,1.553,0.82683,1.08185,0.0008516,0.0008516,0.0008516
60,92.4901,1.00921,0.66686,0.89504,0.89663,0.80325,0.88607,0.50813,1.55464,0.81392,1.0781,0.0008318,0.0008318,0.0008318
61,93.9294,1.01571,0.66748,0.90425,0.92551,0.7963,0.9154,0.52179,1.49655,0.79041,1.05746,0.000812,0.000812,0.000812
62,95.3947,1.0395,0.67935,0.90446,0.92546,0.81481,0.91949,0.52256,1.49774,0.76311,1.06407,0.0007922,0.0007922,0.0007922
63,96.798,0.98116,0.6664,0.89238,0.92605,0.83333,0.92652,0.4967,1.55904,0.78573,1.08383,0.0007724,0.0007724,0.0007724
64,98.2728,1.01192,0.64508,0.88771,0.97706,0.78896,0.91841,0.52323,1.47572,0.7638,1.04306,0.0007526,0.0007526,0.0007526
65,99.7325,1.03359,0.68387,0.90607,0.92559,0.7963,0.91533,0.53998,1.45101,0.75079,1.03537,0.0007328,0.0007328,0.0007328
66,101.226,0.94723,0.64362,0.87236,0.89645,0.81481,0.92809,0.54265,1.40948,0.7791,1.02218,0.000713,0.000713,0.000713
67,102.709,0.91013,0.60953,0.86321,0.77449,0.92593,0.9251,0.54545,1.41061,0.80254,1.02335,0.0006932,0.0006932,0.0006932
68,104.297,0.92713,0.61036,0.87508,0.82126,0.87037,0.91808,0.51943,1.48477,0.80205,1.0431,0.0006734,0.0006734,0.0006734
69,105.758,0.92642,0.59996,0.8666,0.92766,0.7963,0.92034,0.51686,1.46794,0.81252,1.03606,0.0006536,0.0006536,0.0006536
70,107.257,0.98184,0.65355,0.87964,0.8373,0.85781,0.9261,0.52911,1.47552,0.78574,1.0377,0.0006338,0.0006338,0.0006338
71,108.728,0.97302,0.62069,0.87045,0.93458,0.77778,0.9084,0.51982,1.48779,0.77298,1.03858,0.000614,0.000614,0.000614
72,110.232,0.89041,0.60658,0.86697,0.90794,0.81481,0.90975,0.52629,1.48107,0.72263,1.03293,0.0005942,0.0005942,0.0005942
73,111.633,0.90583,0.60063,0.86776,0.84002,0.87517,0.89647,0.52081,1.49772,0.7226,1.0369,0.0005744,0.0005744,0.0005744
74,113.131,0.91143,0.61264,0.87398,0.86791,0.85178,0.90164,0.5215,1.50527,0.73759,1.03901,0.0005546,0.0005546,0.0005546
75,114.581,0.90304,0.60351,0.87947,0.84123,0.88311,0.91056,0.52306,1.47513,0.72916,1.03158,0.0005348,0.0005348,0.0005348
76,116.134,0.94223,0.60863,0.88732,0.8398,0.90741,0.91541,0.51877,1.52018,0.75306,1.04677,0.000515,0.000515,0.000515
77,117.557,0.85851,0.56907,0.85912,0.84464,0.90741,0.90975,0.50501,1.55478,0.74914,1.05041,0.0004952,0.0004952,0.0004952
78,119.082,0.93424,0.60716,0.88635,0.82841,0.90741,0.90149,0.52849,1.49744,0.74739,1.03727,0.0004754,0.0004754,0.0004754
79,120.5,0.879,0.57787,0.84601,0.82943,0.92593,0.91824,0.55012,1.45434,0.7396,1.02564,0.0004556,0.0004556,0.0004556
80,122.001,0.88997,0.57826,0.8569,0.93596,0.83333,0.91742,0.54119,1.46115,0.73219,1.03038,0.0004358,0.0004358,0.0004358
81,123.413,0.88969,0.57052,0.845,0.90116,0.83333,0.90155,0.51753,1.50349,0.74532,1.03973,0.000416,0.000416,0.000416
82,124.852,0.86386,0.57186,0.85483,0.91936,0.84459,0.9021,0.51024,1.52995,0.74693,1.04307,0.0003962,0.0003962,0.0003962
83,126.304,0.84329,0.55483,0.85078,0.91546,0.80223,0.90211,0.51741,1.49766,0.74671,1.03344,0.0003764,0.0003764,0.0003764
84,127.786,0.88212,0.58255,0.86215,0.89495,0.83333,0.92424,0.51986,1.50255,0.74596,1.03176,0.0003566,0.0003566,0.0003566
85,129.239,0.88376,0.56909,0.85968,0.86046,0.85185,0.9184,0.54169,1.48202,0.72575,1.02827,0.0003368,0.0003368,0.0003368
86,130.767,0.86455,0.55621,0.8615,0.9649,0.77778,0.93034,0.53801,1.46517,0.71984,1.0253,0.000317,0.000317,0.000317
87,132.211,0.79077,0.53691,0.85974,0.84121,0.88298,0.93457,0.54884,1.44147,0.72377,1.02048,0.0002972,0.0002972,0.0002972
88,133.712,0.86773,0.56567,0.86908,0.85686,0.88685,0.92244,0.5493,1.43677,0.72115,1.01679,0.0002774,0.0002774,0.0002774
89,135.236,0.84736,0.54756,0.85938,0.84479,0.90717,0.93719,0.5554,1.4217,0.71436,1.01574,0.0002576,0.0002576,0.0002576
90,136.699,0.82081,0.55674,0.86174,0.92952,0.81481,0.94163,0.56867,1.44096,0.71082,1.02034,0.0002378,0.0002378,0.0002378
91,165.361,0.93652,0.59764,0.87931,0.91159,0.81481,0.9397,0.5598,1.4538,0.70566,1.02274,0.000218,0.000218,0.000218
92,166.91,0.91048,0.5943,0.8695,0.88511,0.87037,0.93177,0.55528,1.44437,0.7126,1.02003,0.0001982,0.0001982,0.0001982
93,168.59,0.81275,0.56026,0.85663,0.88636,0.87037,0.9381,0.54707,1.46333,0.71011,1.02374,0.0001784,0.0001784,0.0001784
94,170.092,0.82799,0.55378,0.85323,0.90595,0.81481,0.93507,0.544,1.4696,0.70243,1.02813,0.0001586,0.0001586,0.0001586
95,171.523,0.7808,0.53526,0.84973,0.9372,0.81481,0.93737,0.54553,1.47739,0.70413,1.03072,0.0001388,0.0001388,0.0001388
96,172.992,0.76552,0.53864,0.84327,0.93852,0.81481,0.94152,0.5369,1.49232,0.67717,1.03297,0.000119,0.000119,0.000119
97,174.399,0.75023,0.53282,0.83734,0.91899,0.84035,0.93514,0.54357,1.49676,0.686,1.03707,9.92e-05,9.92e-05,9.92e-05
98,175.835,0.81761,0.52983,0.86958,0.92233,0.85185,0.94572,0.5375,1.48024,0.68573,1.03294,7.94e-05,7.94e-05,7.94e-05
99,177.207,0.75621,0.52478,0.84188,0.91064,0.83333,0.94176,0.54489,1.46648,0.68427,1.03352,5.96e-05,5.96e-05,5.96e-05
100,178.72,0.75164,0.5156,0.83388,0.90023,0.8355,0.9401,0.54764,1.45082,0.67978,1.02891,3.98e-05,3.98e-05,3.98e-05
